transaction_id,purchaser_id,owner_id,transaction_date,client_type,product_description,event_date,area,row_number,seat_number
f710a3bc-e951-4c3e-b8d8-134bd087821c,533c40f0-0bf8-ee11-8444-c178c8b2856a,533c40f0-0bf8-ee11-8444-c178c8b2856a,2024-07-30,Match by Match Ticket Holder,2024/25 Sheffield United V Portsmouth,2025-02-08,The Pavilion,X,119
6cfae379-1935-4ae8-9ebe-bb556432e801,01ecaf61-563b-ed11-83d1-afe4f709d266,01ecaf61-563b-ed11-83d1-afe4f709d266,2024-07-30,Match by Match Ticket Holder,2024/25 Sheffield United V Luton Town,2024-10-05,The Pavilion,O,124
3664f67c-62e1-4263-90f9-d8e4a7d2bb6c,265c1531-a930-48d8-b4cb-5eb1460b37c4,265c1531-a930-48d8-b4cb-5eb1460b37c4,2025-01-07,Match by Match Ticket Holder,2024/25 Sheffield United  V Cardiff City | Fac3,2025-01-09,1889 Restaurant,J,13
63057bb0-cc8a-477a-b80f-f314b89071c9,f3156ddf-7a71-486b-8ea1-cbdcef531988,f3156ddf-7a71-486b-8ea1-cbdcef531988,2025-02-04,Match by Match Ticket Holder,2024/25 Sheffield United V Portsmouth,2025-02-08,1889 Restaurant,D,5
4d584ea5-9b94-4db5-831f-46b80c197f85,6decc322-b90d-ed11-83ae-8ff7ee3adc9d,6decc322-b90d-ed11-83ae-8ff7ee3adc9d,2024-11-26,Season Ticket Holder,2024/25 Sheffield United V Oxford United,2024-11-26,The Pavilion,AA,112
2de1eb86-4eb8-460b-aea4-87d6331d8045,4155b9f3-bc05-ec11-8315-bff3dee54289,4155b9f3-bc05-ec11-8315-bff3dee54289,2024-07-30,Season Ticket Holder,2024/25 Sheffield United V West Bromwich Albion,2024-12-29,The Pavilion,P,115
1d8089aa-364f-471e-9d50-adf159008e78,f3156ddf-7a71-486b-8ea1-cbdcef531988,f3156ddf-7a71-486b-8ea1-cbdcef531988,2025-04-15,Match by Match Ticket Holder,2024/25 Sheffield United V Cardiff City,2025-04-18,1889 Restaurant,A,10
eb8a965b-d345-4639-9c0d-ddf7d83affdf,cd6685fe-526d-4d0e-90ab-5abe31174d76,cd6685fe-526d-4d0e-90ab-5abe31174d76,2024-08-14,Match by Match Ticket Holder,2024/25 Sheffield United V Sunderland,2024-11-29,1889 Restaurant,J,13
1ed499cf-d867-448d-89fd-3be34c518974,f3156ddf-7a71-486b-8ea1-cbdcef531988,f3156ddf-7a71-486b-8ea1-cbdcef531988,2025-01-20,Match by Match Ticket Holder,2024/25 Sheffield United V Hull City,2025-01-24,1889 Restaurant,C,1
36aabff5-952c-400f-b87e-fefe82724668,8ad3eaa5-148e-4179-9551-dca2037e8c01,8ad3eaa5-148e-4179-9551-dca2037e8c01,2024-08-06,Match by Match Ticket Holder,2024/25 Sheffield United V Portsmouth,2025-02-08,The Pavilion,Y,116
